platform,sentiment_bucket,count
bili,very_negative,1603
bili,negative,727
bili,neutral,760
bili,positive,651
bili,very_positive,1405
douyin,very_negative,354
douyin,negative,193
douyin,neutral,321
douyin,positive,205
douyin,very_positive,280
tieba,very_negative,48
tieba,negative,15
tieba,neutral,30
tieba,positive,26
tieba,very_positive,118
weibo,very_negative,40
weibo,negative,38
weibo,neutral,77
weibo,positive,39
weibo,very_positive,133
xhs,very_negative,558
xhs,negative,511
xhs,neutral,792
xhs,positive,608
xhs,very_positive,1139
zhihu,very_negative,358
zhihu,negative,181
zhihu,neutral,160
zhihu,positive,150
zhihu,very_positive,539
